2018.10.12 16:13,2018.10.12 17:17,working
2018.10.12 17:17,2018.10.12 18:07,breaking
2018.10.12 18:07,2018.10.12 19:27,working
2018.10.12 19:27,2018.10.12 19:36,breaking
2018.10.12 19:36,2018.10.12 19:52,working
2018.10.12 19:52,2018.10.12 20:53,breaking
2018.10.12 20:53,2018.10.12 21:09,working
2018.10.12 21:09,2018.10.12 21:11,breaking
2018.10.12 21:11,2018.10.12 22:01,working
2018.10.12 22:01,2018.10.12 22:10,breaking
2018.10.12 22:10,2018.10.12 22:42,working
2018.10.12 22:42,2018.10.12 22:44,breaking
2018.10.12 22:44,2018.10.12 22:59,working
2018.10.12 22:59,2018.10.12 23:27,breaking
2018.10.12 23:27,2018.10.12 23:41,working
2018.10.12 23:41,2018.10.12 23:41,breaking
2018.10.12 23:41,2018.10.12 23:41,working
2018.10.12 23:41,2018.10.12 23:49,breaking
2018.10.12 23:49,2018.10.13 0:08,working
2018.10.13 13:04,2018.10.13 14:05,working
2018.10.13 14:05,2018.10.13 14:11,breaking
2018.10.13 14:11,2018.10.13 14:27,working
2018.10.13 14:27,2018.10.13 14:37,breaking
2018.10.13 14:37,2018.10.13 15:08,working
2018.10.13 15:08,2018.10.13 15:17,breaking
2018.10.13 15:17,2018.10.13 15:52,working
2018.10.13 15:52,2018.10.13 15:56,breaking
2018.10.13 15:56,2018.10.13 15:56,working
2018.10.13 15:56,2018.10.13 16:07,breaking
2018.10.13 16:07,2018.10.13 16:17,working
2018.10.13 16:17,2018.10.13 16:18,breaking
2018.10.13 16:18,2018.10.13 16:19,working
2018.10.13 16:19,2018.10.13 16:20,breaking
2018.10.13 16:20,2018.10.13 16:58,working
2018.10.13 16:58,2018.10.13 17:08,breaking
2018.10.13 17:08,2018.10.13 17:18,working
2018.10.13 17:18,2018.10.13 17:26,breaking
2018.10.13 17:26,2018.10.13 17:30,working
2018.10.13 17:30,2018.10.13 17:36,breaking
2018.10.13 17:36,2018.10.13 17:36,working
2018.10.13 17:36,2018.10.13 17:38,breaking
2018.10.13 17:38,2018.10.13 17:38,working
2018.10.13 17:38,2018.10.13 18:28,breaking
2018.10.13 18:28,2018.10.13 18:28,working
2018.10.13 18:28,2018.10.13 18:30,breaking
2018.10.13 18:30,2018.10.13 19:48,working
2018.10.13 19:48,2018.10.13 19:54,breaking
2018.10.13 19:54,2018.10.13 19:54,working
2018.10.13 19:54,2018.10.13 19:55,breaking
2018.10.13 19:55,2018.10.13 20:12,working
2018.10.13 20:12,2018.10.13 20:29,breaking
2018.10.13 20:29,2018.10.13 20:37,working
2018.10.13 20:37,2018.10.13 20:42,breaking
2018.10.13 20:42,2018.10.13 20:57,working
2018.10.13 20:57,2018.10.13 21:01,breaking
2018.10.13 21:01,2018.10.13 21:13,working
2018.10.13 21:13,2018.10.13 21:25,breaking
2018.10.13 21:25,2018.10.13 23:24,working
2018.10.13 23:24,2018.10.13 23:30,breaking
2018.10.13 23:30,2018.10.13 23:30,working
2018.10.13 23:30,2018.10.14 0:17,breaking
2018.10.14 0:17,2018.10.14 0:23,working
2018.10.14 11:15,2018.10.14 12:45,working
2018.10.14 12:45,2018.10.14 12:58,breaking
2018.10.14 12:58,2018.10.14 13:50,working
2018.10.14 13:50,2018.10.14 14:08,breaking
2018.10.14 14:08,2018.10.14 14:10,working
2018.10.14 14:10,2018.10.14 14:12,breaking
2018.10.14 14:12,2018.10.14 14:37,working
2018.10.14 14:37,2018.10.14 14:48,breaking
2018.10.14 14:48,2018.10.14 15:40,working
2018.10.14 15:40,2018.10.14 16:52,breaking
2018.10.14 16:52,2018.10.14 17:23,working
2018.10.14 17:23,2018.10.14 17:38,breaking
2018.10.14 17:38,2018.10.14 18:02,working
2018.10.14 18:02,2018.10.14 18:14,breaking
2018.10.14 18:14,2018.10.14 18:14,working
2018.10.14 18:14,2018.10.14 19:12,breaking
2018.10.14 19:12,2018.10.14 19:50,working
2018.10.14 19:50,2018.10.14 20:13,breaking
2018.10.14 20:13,2018.10.14 20:13,working
2018.10.14 20:13,2018.10.14 20:18,breaking
2018.10.14 20:18,2018.10.14 21:02,working
2018.10.15 21:14,2018.10.15 21:36,working
2018.10.15 21:36,2018.10.15 21:39,breaking
2018.10.15 21:39,2018.10.15 21:45,working
2018.10.15 21:45,2018.10.15 21:53,breaking
2018.10.15 21:53,2018.10.15 21:56,working
2018.10.15 21:56,2018.10.15 22:01,breaking
2018.10.15 22:01,2018.10.15 22:38,working
2018.10.15 22:38,2018.10.15 22:39,breaking
2018.10.15 22:39,2018.10.15 23:38,working
2018.10.16 16:59,2018.10.16 17:12,working
2018.10.16 17:12,2018.10.16 17:13,breaking
2018.10.16 17:13,2018.10.16 18:14,working
2018.10.16 18:14,2018.10.16 19:26,breaking
2018.10.16 19:26,2018.10.16 20:28,working
2018.10.16 20:28,2018.10.16 20:29,breaking
2018.10.16 20:29,2018.10.16 20:29,working
2018.10.16 20:29,2018.10.16 23:14,breaking
2018.10.16 23:14,2018.10.16 23:15,working
2018.10.16 23:15,2018.10.16 23:16,breaking
2018.10.16 23:16,2018.10.16 23:16,working
2018.10.16 23:16,2018.10.16 23:27,breaking
2018.10.16 23:27,2018.10.16 23:28,working
2018.10.16 23:28,2018.10.16 23:30,breaking
2018.10.16 23:30,2018.10.17 0:26,working
2018.10.17 15:13,2018.10.17 15:55,working
2018.10.17 15:55,2018.10.17 15:56,breaking
2018.10.17 15:56,2018.10.17 15:59,working
2018.10.17 15:59,2018.10.17 16:07,breaking
2018.10.17 16:07,2018.10.17 16:37,working
2018.10.17 16:37,2018.10.17 16:41,breaking
2018.10.17 16:41,2018.10.17 16:41,working
2018.10.17 16:41,2018.10.17 16:47,breaking
2018.10.17 16:47,2018.10.17 16:47,working
2018.10.17 16:47,2018.10.17 16:59,breaking
2018.10.17 16:59,2018.10.17 16:59,working
2018.10.17 16:59,2018.10.17 17:53,breaking
2018.10.17 17:53,2018.10.17 19:29,working
2018.10.17 19:29,2018.10.17 19:44,breaking
2018.10.17 19:44,2018.10.17 21:45,working
2018.10.17 21:45,2018.10.17 21:54,breaking
2018.10.17 21:54,2018.10.17 22:58,working
2018.10.17 22:58,2018.10.17 23:01,breaking
2018.10.17 23:01,2018.10.17 23:01,working
2018.10.17 23:01,2018.10.17 23:05,breaking
2018.10.17 23:05,2018.10.17 23:11,working
2018.10.17 23:11,2018.10.17 23:14,breaking
2018.10.17 23:14,2018.10.17 23:16,working
2018.10.17 23:16,2018.10.17 23:16,breaking
2018.10.17 23:16,2018.10.17 23:36,working
2018.10.17 23:36,2018.10.17 23:45,breaking
2018.10.17 23:45,2018.10.18 0:21,working
2018.10.18 17:32,2018.10.18 17:40,working
2018.10.18 17:40,2018.10.18 18:27,breaking
2018.10.18 18:27,2018.10.18 18:49,working
2018.10.18 18:49,2018.10.18 19:01,breaking
2018.10.18 19:01,2018.10.18 19:54,working
2018.10.18 19:54,2018.10.18 19:56,breaking
2018.10.18 19:56,2018.10.18 20:17,working
2018.10.18 20:17,2018.10.18 20:22,breaking
2018.10.18 20:22,2018.10.18 20:34,working
2018.10.18 20:34,2018.10.18 20:41,breaking
2018.10.18 20:41,2018.10.18 20:41,working
2018.10.18 20:41,2018.10.18 20:45,breaking
2018.10.18 20:45,2018.10.18 20:45,working
2018.10.18 20:45,2018.10.18 20:53,breaking
2018.10.18 20:53,2018.10.18 21:13,working
2018.10.18 21:13,2018.10.18 21:19,breaking
2018.10.18 21:19,2018.10.18 21:27,working
2018.10.18 21:27,2018.10.18 21:45,breaking
2018.10.18 21:45,2018.10.18 21:45,working
2018.10.18 21:45,2018.10.18 21:50,breaking
2018.10.18 21:50,2018.10.18 22:16,working
2018.10.18 22:16,2018.10.18 22:17,breaking
2018.10.18 22:17,2018.10.18 22:41,working
2018.10.18 22:41,2018.10.18 22:55,breaking
2018.10.18 22:55,2018.10.18 22:56,working
2018.10.18 22:56,2018.10.18 22:56,breaking
2018.10.18 22:56,2018.10.18 23:07,working
2018.10.18 23:07,2018.10.18 23:08,breaking
2018.10.18 23:08,2018.10.18 23:15,working
2018.10.18 23:15,2018.10.18 23:23,breaking
2018.10.18 23:23,2018.10.18 23:27,working
2018.10.18 23:27,2018.10.18 23:52,breaking
2018.10.18 23:52,2018.10.18 23:55,working